iter	Logloss
0	0.6855899665
1	0.6788012837
2	0.6722151492
3	0.6665796018
4	0.6614573548
5	0.6566710028
6	0.6525176798
7	0.6484454217
8	0.6445150473
9	0.6411161655
10	0.638311121
11	0.635483535
12	0.6326880871
13	0.6301542522
14	0.6278292966
15	0.6258252658
16	0.623884688
17	0.6221500513
18	0.6206504779
19	0.619167359
20	0.6177427887
21	0.6164165683
22	0.6152064665
23	0.6141365417
24	0.6131687524
25	0.6122442276
26	0.6112806288
27	0.6104407105
28	0.6095048917
29	0.6086262885
30	0.6077785748
31	0.6069416418
32	0.6062251597
33	0.6055390858
34	0.6049018754
35	0.6043231957
36	0.6038018139
37	0.6031861264
38	0.6025717097
39	0.6020408084
40	0.6015197209
41	0.6010527203
42	0.6006304429
43	0.6001724455
44	0.5997318189
45	0.5993781876
46	0.5989705975
47	0.5985639247
48	0.5981899732
49	0.5978854483
50	0.5975669841
51	0.5972303027
52	0.5969633304
53	0.5966938668
54	0.5963569543
55	0.5960572309
56	0.5957784874
57	0.595477346
58	0.5952377026
59	0.5949692262
60	0.5947240161
61	0.5944896363
62	0.5942438195
63	0.5939716575
64	0.5937475379
65	0.593533132
66	0.5933125455
67	0.5930556974
68	0.5928330894
69	0.5925883242
70	0.5923559066
71	0.5921329945
72	0.5919538857
73	0.5917941633
74	0.5915875304
75	0.5913973805
76	0.591217328
77	0.5910778808
78	0.5909120467
79	0.5907571537
80	0.5905886334
81	0.5904410337
82	0.5902585987
83	0.5901042801
84	0.5899352849
85	0.5897732952
86	0.5896133494
87	0.5894797838
88	0.5893300774
89	0.5891791722
90	0.5890312204
91	0.5888825485
92	0.5887038041
93	0.5885811814
94	0.5884797585
95	0.5883699863
96	0.5882505164
97	0.5881156541
98	0.5880060421
99	0.5878892032
100	0.5877850255
101	0.5876419731
102	0.58753453
103	0.5874090463
104	0.5873092689
105	0.5871973586
106	0.5871033944
107	0.5870111007
108	0.5869055288
109	0.5868175617
110	0.5867235654
111	0.5866394294
112	0.5865372412
113	0.5864625533
114	0.5863482006
115	0.5862689894
116	0.5862012891
117	0.5860998748
118	0.5860181967
119	0.5859527404
120	0.5858496929
121	0.5857602015
122	0.585674864
123	0.5855737751
124	0.5854925585
125	0.5853862412
126	0.5852803149
127	0.5852238302
128	0.585138723
129	0.585064867
130	0.5849775635
131	0.5848937049
132	0.5848129993
133	0.5847516506
134	0.5846770568
135	0.5846048563
136	0.5845203883
137	0.5844434903
138	0.5843535369
139	0.5842936024
140	0.5842178536
141	0.5841683424
142	0.5841117525
143	0.5840447699
144	0.583965683
145	0.583904242
146	0.5838422652
147	0.583773723
148	0.5836965757
149	0.5836399683
