iter	Passed	Remaining
0	65	32923
1	124	30923
2	186	30910
3	246	30585
4	302	29957
5	359	29633
6	418	29485
7	474	29178
8	535	29224
9	595	29163
10	654	29100
11	713	29019
12	768	28777
13	849	29499
14	907	29345
15	966	29235
16	1022	29045
17	1080	28922
18	1134	28725
19	1188	28519
20	1245	28404
21	1303	28324
22	1358	28181
23	1421	28192
24	1501	28521
25	1585	28896
26	1663	29146
27	1755	29591
28	1830	29732
29	1902	29806
30	1980	29960
31	2056	30080
32	2142	30316
33	2220	30439
34	2284	30348
35	2338	30142
36	2397	29997
37	2450	29792
38	2506	29627
39	2567	29521
40	2633	29482
41	2696	29405
42	2748	29215
43	2809	29118
44	2866	28980
45	2918	28802
46	2978	28708
47	3032	28553
48	3088	28425
49	3143	28290
50	3200	28177
51	3261	28095
52	3322	28024
53	3380	27922
54	3434	27786
55	3485	27633
56	3545	27553
57	3606	27482
58	3662	27378
59	3721	27288
60	3779	27201
61	3835	27096
62	3892	27002
63	3952	26924
64	4011	26846
65	4063	26722
66	4128	26682
67	4191	26630
68	4255	26581
69	4318	26528
70	4374	26431
71	4432	26350
72	4485	26235
73	4544	26160
74	4602	26078
75	4659	25997
76	4730	25986
77	4790	25919
78	4851	25854
79	4905	25751
80	4970	25710
81	5023	25609
82	5083	25541
83	5142	25466
84	5229	25533
85	5315	25589
86	5400	25636
87	5468	25602
88	5529	25534
89	5586	25449
90	5648	25388
91	5715	25348
92	5790	25339
93	5868	25348
94	5922	25247
95	5984	25186
96	6041	25099
97	6103	25038
98	6158	24943
99	6210	24843
100	6264	24748
101	6326	24687
102	6381	24598
103	6443	24535
104	6497	24442
105	6558	24379
106	6614	24296
107	6897	25034
108	6974	25017
109	7047	24987
110	7123	24963
111	7189	24905
112	7264	24880
113	7318	24779
114	7379	24705
115	7433	24609
116	7492	24527
117	7557	24465
118	7613	24377
119	7671	24293
120	7734	24225
121	7791	24139
122	8064	24717
123	8148	24707
124	8208	24625
125	8267	24539
126	8316	24427
127	8373	24334
128	8428	24239
129	8480	24136
130	8540	24057
131	8600	23976
132	8662	23903
133	8713	23798
134	8776	23729
135	8831	23637
136	8882	23534
137	8936	23442
138	8991	23350
139	9049	23269
140	9105	23183
141	9159	23092
142	9218	23014
143	9277	22935
144	9335	22855
145	9392	22774
146	9450	22693
147	9524	22652
148	9585	22580
149	9640	22494
150	9698	22416
151	9751	22325
152	9805	22239
153	9867	22169
154	9928	22098
155	9987	22023
156	10041	21937
157	10096	21853
158	10150	21769
159	10201	21678
160	10260	21605
161	10318	21529
162	10379	21459
163	10439	21387
164	10491	21301
165	10553	21234
166	10606	21149
167	10666	21078
168	10717	20990
169	10782	20930
170	10839	20854
171	10900	20786
172	10950	20698
173	11004	20617
174	11056	20533
175	11108	20449
176	11160	20366
177	11219	20296
178	11282	20233
179	11342	20163
180	11397	20087
181	11451	20009
182	11503	19926
183	11564	19860
184	11622	19789
185	11673	19707
186	11740	19650
187	11792	19570
188	11854	19506
189	11915	19440
190	11964	19356
191	12021	19284
192	12084	19222
193	12143	19154
194	12206	19091
195	12270	19032
196	12322	18953
197	12385	18891
198	12442	18820
199	12493	18740
200	12554	18675
201	12612	18606
202	12662	18526
203	12715	18450
204	12774	18383
205	12829	18310
206	12892	18249
207	12953	18184
208	13012	18117
209	13065	18042
210	13126	17978
211	13185	17912
212	13245	17847
213	13311	17790
214	13373	17728
215	13434	17664
216	13494	17598
217	13555	17535
218	13616	17471
219	13672	17401
220	13733	17337
221	13794	17274
222	13859	17215
223	13922	17154
224	13983	17090
225	14033	17014
226	14081	16935
227	14131	16858
228	14191	16794
229	14239	16715
230	14307	16660
231	14359	16588
232	14428	16533
233	14484	16464
234	14544	16401
235	14603	16336
236	14662	16271
237	14725	16210
238	14792	16153
239	14850	16087
240	14913	16027
241	14975	15965
242	15037	15904
243	15097	15839
244	15154	15773
245	15215	15710
246	15274	15645
247	15334	15581
248	15397	15520
249	15458	15458
250	15522	15399
251	15573	15326
252	15633	15262
253	15688	15194
254	15750	15132
255	15810	15069
256	15866	15002
257	15923	14935
258	15979	14869
259	16040	14806
260	16100	14743
261	16156	14676
262	16226	14622
263	16284	14557
264	16344	14494
265	16402	14429
266	16455	14359
267	16515	14297
268	16576	14235
269	16634	14170
270	16698	14110
271	16759	14048
272	16812	13979
273	16871	13915
274	16928	13850
275	16988	13788
276	17052	13727
277	17117	13669
278	17177	13606
279	17236	13542
280	17297	13480
281	17353	13414
282	17414	13353
283	17474	13290
284	17538	13230
285	17597	13167
286	17659	13106
287	17718	13042
288	17778	12980
289	17837	12916
290	17896	12853
291	17951	12787
292	18011	12724
293	18070	12661
294	18130	12599
295	18190	12536
296	18249	12473
297	18310	12411
298	18368	12347
299	18427	12284
300	18482	12219
301	18539	12155
302	18607	12097
303	18673	12039
304	18738	11980
305	18798	11918
306	18856	11854
307	18915	11791
308	18972	11727
309	19029	11663
310	19087	11599
311	19147	11537
312	19205	11474
313	19263	11411
314	19323	11348
315	19381	11285
316	19439	11222
317	19498	11159
318	19557	11096
319	19613	11032
320	19673	10970
321	19734	10909
322	19796	10848
323	19857	10786
324	19915	10723
325	19974	10661
326	20033	10598
327	20097	10538
328	20158	10477
329	20222	10417
330	20285	10357
331	20340	10292
332	20400	10230
333	20458	10167
334	20513	10103
335	20574	10042
336	20634	9980
337	20697	9920
338	20754	9856
339	20817	9796
340	20876	9734
341	20934	9671
342	20991	9608
343	21051	9546
344	21106	9482
345	21166	9420
346	21219	9356
347	21294	9300
348	21356	9240
349	21414	9177
350	21475	9116
351	21535	9054
352	21595	8992
353	21654	8930
354	21710	8867
355	21775	8808
356	21833	8745
357	21893	8684
358	21954	8622
359	22012	8560
360	22069	8497
361	22129	8436
362	22187	8373
363	22248	8312
364	22310	8251
365	22387	8196
366	22444	8133
367	22502	8071
368	22561	8009
369	22617	7946
370	22675	7884
371	22735	7823
372	22797	7762
373	22856	7700
374	22920	7640
375	22977	7577
376	23029	7513
377	23087	7451
378	23144	7389
379	23243	7340
380	23341	7290
381	23418	7234
382	23489	7175
383	23546	7113
384	23604	7050
385	23658	6987
386	23718	6925
387	23777	6863
388	23832	6800
389	23894	6739
390	23953	6677
391	24015	6616
392	24074	6554
393	24134	6493
394	24190	6430
395	24270	6373
396	24337	6314
397	24397	6252
398	24456	6190
399	24519	6129
400	24576	6067
401	24639	6006
402	24700	5945
403	24759	5883
404	24819	5821
405	24877	5759
406	24941	5699
407	25000	5637
408	25061	5576
409	25119	5513
410	25168	5450
411	25226	5388
412	25287	5326
413	25361	5268
414	25422	5207
415	25484	5146
416	25549	5085
417	25604	5022
418	25662	4960
419	25719	4899
420	25778	4837
421	25839	4776
422	25899	4714
423	25958	4653
424	26017	4591
425	26078	4530
426	26136	4468
427	26195	4406
428	26253	4344
429	26313	4283
430	26375	4222
431	26431	4160
432	26491	4099
433	26552	4037
